Training_phase,Daily_d=1_mean,Daily_d=1_SE,Weekly_d=7_mean,Weekly_d=7_SE,Monthly_d=28_mean,Monthly_d=28_SE,Functional_interpretation
Base,0.196,0.018,0.348,0.023,0.456,0.028,Endurance accumulation — longest-range receptive field dominates
Intensive,0.265,0.021,0.402,0.025,0.333,0.024,Weekly periodisation balance — mid-range dominates
Tapering,0.430,0.028,0.392,0.024,0.178,0.019,Acute recovery monitoring — daily window predominates
Competition,0.518,0.033,0.331,0.022,0.151,0.017,Same-day readiness — short-range window concentrates attention
